[ 00:00:03.183 -->  00:00:03.896] 0 SPEAKER_00
[ 00:00:05.067 -->  00:00:07.003] 0 SPEAKER_00
[ 00:00:05.407 -->  00:00:14.303] 3 SPEAKER_03
[ 00:00:07.003 -->  00:00:09.482] 1 SPEAKER_01
[ 00:00:12.538 -->  00:00:12.945] 1 SPEAKER_01
[ 00:00:14.592 -->  00:00:17.954] 3 SPEAKER_03
[ 00:00:15.509 -->  00:00:17.003] 2 SPEAKER_02
[ 00:00:17.003 -->  00:00:17.054] 1 SPEAKER_01
[ 00:00:17.054 -->  00:00:17.308] 2 SPEAKER_02
[ 00:00:17.308 -->  00:00:17.801] 1 SPEAKER_01
[ 00:00:17.954 -->  00:00:18.005] 1 SPEAKER_01
[ 00:00:18.005 -->  00:00:18.157] 2 SPEAKER_02
[ 00:00:18.157 -->  00:00:18.276] 1 SPEAKER_01
[ 00:00:18.276 -->  00:00:18.463] 2 SPEAKER_02
[ 00:00:18.463 -->  00:00:18.752] 1 SPEAKER_01
[ 00:00:18.752 -->  00:00:19.363] 3 SPEAKER_03
[ 00:00:18.870 -->  00:00:26.103] 1 SPEAKER_01
[ 00:00:19.363 -->  00:00:19.380] 2 SPEAKER_02
[ 00:00:25.169 -->  00:00:28.123] 2 SPEAKER_02
[ 00:00:26.103 -->  00:00:26.239] 3 SPEAKER_03
[ 00:00:28.157 -->  00:00:30.738] 2 SPEAKER_02
[ 00:00:28.191 -->  00:00:28.599] 3 SPEAKER_03
[ 00:00:28.599 -->  00:00:29.006] 1 SPEAKER_01
[ 00:00:29.006 -->  00:00:31.230] 3 SPEAKER_03
[ 00:00:31.689 -->  00:00:47.648] 3 SPEAKER_03
[ 00:00:39.584 -->  00:00:41.808] 2 SPEAKER_02
[ 00:00:46.816 -->  00:00:48.157] 4 SPEAKER_04
[ 00:00:48.123 -->  00:00:48.140] 3 SPEAKER_03
[ 00:00:48.157 -->  00:00:57.308] 3 SPEAKER_03
[ 00:00:56.969 -->  00:00:58.140] 1 SPEAKER_01
[ 00:00:57.478 -->  00:01:02.555] 3 SPEAKER_03
[ 00:01:01.468 -->  00:01:09.040] 4 SPEAKER_04
[ 00:01:04.151 -->  00:01:04.983] 3 SPEAKER_03
